image_path,xmin,ymin,xmax,ymax,class
/Users/olivereielson/Desktop/test/184066--2021-05-19-19:52:02-378698.jpg,754,175,760,180,Squash
/Users/olivereielson/Desktop/test/166835--2021-05-19-19:23:40-836828.jpg,442,327,447,331,Squash
/Users/olivereielson/Desktop/test/179436--2021-05-19-19:44:26-174573.jpg,602,69,606,74,Squash
/Users/olivereielson/Desktop/test/179571--2021-05-19-19:44:39-447588.jpg,877,309,881,312,Squash
/Users/olivereielson/Desktop/test/208716--2021-05-19-20:32:57-766812.jpg,689,165,693,168,Squash
/Users/olivereielson/Desktop/test/178488--2021-05-19-19:42:52-707132.jpg,976,277,983,284,Squash
/Users/olivereielson/Desktop/test/179829--2021-05-19-19:45:04-879365.jpg,932,385,938,391,Squash
/Users/olivereielson/Desktop/test/177988--2021-05-19-19:42:03-267795.jpg,452,299,457,302,Squash
/Users/olivereielson/Desktop/test/202134--2021-05-19-20:21:53-131794.jpg,718,204,723,209,Squash
/Users/olivereielson/Desktop/test/174335--2021-05-19-19:36:02-448219.jpg,591,193,596,198,Squash
/Users/olivereielson/Desktop/test/185026--2021-05-19-19:53:37-349702.jpg,687,86,693,92,Squash
/Users/olivereielson/Desktop/test/176042--2021-05-19-19:38:51-119397.jpg,480,111,484,115,Squash
/Users/olivereielson/Desktop/test/197964--2021-05-19-20:14:56-063233.jpg,1023,225,1031,232,Squash
/Users/olivereielson/Desktop/test/193690--2021-05-19-20:07:55-199152.jpg,396,51,400,55,Squash
/Users/olivereielson/Desktop/test/186599--2021-05-19-19:56:12-382356.jpg,1004,255,1009,260,Squash
/Users/olivereielson/Desktop/test/190453--2021-05-19-20:02:34-792192.jpg,320,226,326,232,Squash
/Users/olivereielson/Desktop/test/185441--2021-05-19-19:54:18-220164.jpg,547,448,552,453,Squash
/Users/olivereielson/Desktop/test/186037--2021-05-19-19:55:16-974284.jpg,558,34,562,39,Squash
/Users/olivereielson/Desktop/test/179761--2021-05-19-19:44:58-144944.jpg,745,344,751,350,Squash
/Users/olivereielson/Desktop/test/191111--2021-05-19-20:03:39-739387.jpg,562,93,566,97,Squash
/Users/olivereielson/Desktop/test/199018--2021-05-19-20:16:40-312472.jpg,340,90,345,94,Squash
/Users/olivereielson/Desktop/test/200395--2021-05-19-20:18:56-606494.jpg,596,310,603,317,Squash
/Users/olivereielson/Desktop/test/210997--2021-05-19-20:36:48-140120.jpg,1009,441,1013,445,Squash
/Users/olivereielson/Desktop/test/173213--2021-05-19-19:34:11-471510.jpg,1044,365,1050,373,Squash
/Users/olivereielson/Desktop/test/176455--2021-05-19-19:39:31-962459.jpg,425,189,429,193,Squash
/Users/olivereielson/Desktop/test/182563--2021-05-19-19:49:33-078992.jpg,934,188,939,193,Squash
/Users/olivereielson/Desktop/test/202777--2021-05-19-20:23:02-226701.jpg,982,279,990,286,Squash
/Users/olivereielson/Desktop/test/185770--2021-05-19-19:54:50-532617.jpg,383,135,386,140,Squash
/Users/olivereielson/Desktop/test/183008--2021-05-19-19:50:17-207547.jpg,520,389,528,398,Squash
/Users/olivereielson/Desktop/test/205426--2021-05-19-20:27:26-388833.jpg,673,213,680,220,Squash
/Users/olivereielson/Desktop/test/170942--2021-05-19-19:30:26-361048.jpg,359,235,364,240,Squash
/Users/olivereielson/Desktop/test/176884--2021-05-19-19:40:14-316982.jpg,593,310,602,318,Squash
/Users/olivereielson/Desktop/test/191861--2021-05-19-20:04:53-876390.jpg,939,373,944,378,Squash
/Users/olivereielson/Desktop/test/204030--2021-05-19-20:25:08-722895.jpg,846,312,853,322,Squash
/Users/olivereielson/Desktop/test/188554--2021-05-19-19:59:25-707456.jpg,475,314,480,319,Squash
/Users/olivereielson/Desktop/test/199691--2021-05-19-20:17:46-709070.jpg,610,76,615,79,Squash
