image_path,xmin,ymin,xmax,ymax,class
/Users/olivereielson/Desktop/test/166835--2021-05-19-19:23:40-836828.jpg,442,327,447,331,Squash
/Users/olivereielson/Desktop/test/179571--2021-05-19-19:44:39-447588.jpg,877,309,881,312,Squash
/Users/olivereielson/Desktop/test/208716--2021-05-19-20:32:57-766812.jpg,689,165,693,168,Squash
/Users/olivereielson/Desktop/test/193690--2021-05-19-20:07:55-199152.jpg,396,51,400,55,Squash
/Users/olivereielson/Desktop/test/186599--2021-05-19-19:56:12-382356.jpg,1004,255,1009,260,Squash
/Users/olivereielson/Desktop/test/185441--2021-05-19-19:54:18-220164.jpg,547,448,552,453,Squash
/Users/olivereielson/Desktop/test/191111--2021-05-19-20:03:39-739387.jpg,562,93,566,97,Squash
/Users/olivereielson/Desktop/test/210997--2021-05-19-20:36:48-140120.jpg,1009,441,1013,445,Squash
/Users/olivereielson/Desktop/test/173213--2021-05-19-19:34:11-471510.jpg,1044,365,1050,373,Squash
/Users/olivereielson/Desktop/test/183008--2021-05-19-19:50:17-207547.jpg,520,389,528,398,Squash
/Users/olivereielson/Desktop/test/170942--2021-05-19-19:30:26-361048.jpg,359,235,364,240,Squash
/Users/olivereielson/Desktop/test/179587--2021-05-19-19:44:41-019181.jpg,893,327,898,333,Squash
/Users/olivereielson/Desktop/test/171547--2021-05-19-19:31:26-565331.jpg,373,385,378,388,Squash
/Users/olivereielson/Desktop/test/173805--2021-05-19-19:35:10-054616.jpg,1023,316,1028,320,Squash
/Users/olivereielson/Desktop/test/192663--2021-05-19-20:06:13-333653.jpg,513,304,521,311,Squash
/Users/olivereielson/Desktop/test/168724--2021-05-19-19:26:46-710734.jpg,410,185,415,189,Squash
/Users/olivereielson/Desktop/test/178823--2021-05-19-19:43:25-876437.jpg,493,95,498,100,Squash
/Users/olivereielson/Desktop/test/210927--2021-05-19-20:36:41-036686.jpg,765,113,769,117,Squash
/Users/olivereielson/Desktop/test/177856--2021-05-19-19:41:50-310752.jpg,711,82,715,86,Squash
/Users/olivereielson/Desktop/test/189946--2021-05-19-20:01:44-540180.jpg,452,135,457,139,Squash
/Users/olivereielson/Desktop/test/198421--2021-05-19-20:15:41-202805.jpg,526,101,529,106,Squash
/Users/olivereielson/Desktop/test/180226--2021-05-19-19:45:44-379772.jpg,454,304,460,310,Squash
/Users/olivereielson/Desktop/test/187666--2021-05-19-19:57:57-878451.jpg,976,280,982,288,Squash
/Users/olivereielson/Desktop/test/205377--2021-05-19-20:27:21-524655.jpg,712,319,718,325,Squash
/Users/olivereielson/Desktop/test/211284--2021-05-19-20:37:17-704079.jpg,732,344,737,350,Squash
/Users/olivereielson/Desktop/test/191096--2021-05-19-20:03:38-240167.jpg,741,332,748,338,Squash
/Users/olivereielson/Desktop/test/190407--2021-05-19-20:02:30-178655.jpg,397,280,402,285,Squash
/Users/olivereielson/Desktop/test/193702--2021-05-19-20:07:56-411345.jpg,366,126,372,132,Squash
/Users/olivereielson/Desktop/test/211553--2021-05-19-20:37:44-740077.jpg,643,308,649,314,Squash
/Users/olivereielson/Desktop/test/172506--2021-05-19-19:33:01-521110.jpg,399,99,405,105,Squash
/Users/olivereielson/Desktop/test/172477--2021-05-19-19:32:58-623706.jpg,752,341,759,348,Squash
/Users/olivereielson/Desktop/test/188221--2021-05-19-19:58:52-790196.jpg,885,117,888,122,Squash
/Users/olivereielson/Desktop/test/187181--2021-05-19-19:57:09-980067.jpg,384,218,389,223,Squash
/Users/olivereielson/Desktop/test/180272--2021-05-19-19:45:48-961122.jpg,452,305,458,311,Squash
/Users/olivereielson/Desktop/test/197418--2021-05-19-20:14:01-942462.jpg,344,221,348,225,Squash
/Users/olivereielson/Desktop/test/180053--2021-05-19-19:45:27-029642.jpg,461,342,466,348,Squash
/Users/olivereielson/Desktop/test/176556--2021-05-19-19:39:41-884937.jpg,387,155,390,159,Squash
/Users/olivereielson/Desktop/test/172244--2021-05-19-19:32:35-657969.jpg,1010,372,1016,379,Squash
/Users/olivereielson/Desktop/test/201367--2021-05-19-20:20:33-229691.jpg,871,145,875,149,Squash
/Users/olivereielson/Desktop/test/200364--2021-05-19-20:18:53-510786.jpg,337,363,345,371,Squash
/Users/olivereielson/Desktop/test/206028--2021-05-19-20:28:25-581718.jpg,821,110,826,115,Squash
/Users/olivereielson/Desktop/test/199854--2021-05-19-20:18:02-955520.jpg,646,193,653,199,Squash
/Users/olivereielson/Desktop/test/176173--2021-05-19-19:39:04-181120.jpg,953,289,957,293,Squash
/Users/olivereielson/Desktop/test/174536--2021-05-19-19:36:22-321253.jpg,892,157,895,161,Squash
/Users/olivereielson/Desktop/test/166840--2021-05-19-19:23:41-345808.jpg,474,357,479,362,Squash
/Users/olivereielson/Desktop/test/187816--2021-05-19-19:58:12-624250.jpg,733,225,737,229,Squash
/Users/olivereielson/Desktop/test/205373--2021-05-19-20:27:21-125374.jpg,742,328,749,337,Squash
/Users/olivereielson/Desktop/test/180078--2021-05-19-19:45:29-542063.jpg,461,319,466,322,Squash
/Users/olivereielson/Desktop/test/179165--2021-05-19-19:43:59-445179.jpg,739,136,742,141,Squash
/Users/olivereielson/Desktop/test/173657--2021-05-19-19:34:55-445670.jpg,873,224,879,230,Squash
/Users/olivereielson/Desktop/test/203811--2021-05-19-20:24:46-602846.jpg,408,171,413,176,Squash
/Users/olivereielson/Desktop/test/188651--2021-05-19-19:59:35-319530.jpg,916,346,920,350,Squash
/Users/olivereielson/Desktop/test/203348--2021-05-19-20:24:00-069054.jpg,466,228,471,233,Squash
/Users/olivereielson/Desktop/test/174780--2021-05-19-19:36:46-473430.jpg,433,189,440,195,Squash
/Users/olivereielson/Desktop/test/184117--2021-05-19-19:52:07-470252.jpg,540,116,544,121,Squash
/Users/olivereielson/Desktop/test/198069--2021-05-19-20:15:06-344664.jpg,972,272,978,279,Squash
/Users/olivereielson/Desktop/test/180276--2021-05-19-19:45:49-373975.jpg,452,305,458,311,Squash
/Users/olivereielson/Desktop/test/190786--2021-05-19-20:03:07-714402.jpg,409,355,414,360,Squash
/Users/olivereielson/Desktop/test/210991--2021-05-19-20:36:47-547902.jpg,1016,432,1020,437,Squash
/Users/olivereielson/Desktop/test/206316--2021-05-19-20:28:54-122733.jpg,808,354,813,359,Squash
/Users/olivereielson/Desktop/test/175942--2021-05-19-19:38:41-219755.jpg,722,336,730,343,Squash
/Users/olivereielson/Desktop/test/169689--2021-05-19-19:28:22-010651.jpg,885,115,889,119,Squash
/Users/olivereielson/Desktop/test/177372--2021-05-19-19:41:02-571788.jpg,357,401,360,406,Squash
/Users/olivereielson/Desktop/test/180068--2021-05-19-19:45:28-545875.jpg,461,327,465,331,Squash
/Users/olivereielson/Desktop/test/169030--2021-05-19-19:27:17-245906.jpg,897,165,901,169,Squash
/Users/olivereielson/Desktop/test/169817--2021-05-19-19:28:34-708676.jpg,425,248,430,252,Squash
/Users/olivereielson/Desktop/test/209684--2021-05-19-20:34:36-451609.jpg,675,444,681,450,Squash
/Users/olivereielson/Desktop/test/198179--2021-05-19-20:15:17-151960.jpg,876,250,880,253,Squash
/Users/olivereielson/Desktop/test/169373--2021-05-19-19:27:50-757241.jpg,1098,282,1103,290,Squash
/Users/olivereielson/Desktop/test/187112--2021-05-19-19:57:03-116617.jpg,405,109,409,113,Squash
/Users/olivereielson/Desktop/test/174773--2021-05-19-19:36:45-773722.jpg,525,100,531,106,Squash
/Users/olivereielson/Desktop/test/177836--2021-05-19-19:41:48-353545.jpg,420,353,426,359,Squash
/Users/olivereielson/Desktop/test/199071--2021-05-19-20:16:45-562903.jpg,405,248,410,251,Squash
/Users/olivereielson/Desktop/test/189666--2021-05-19-20:01:15-650612.jpg,576,75,581,80,Squash
/Users/olivereielson/Desktop/test/206062--2021-05-19-20:28:28-940372.jpg,501,381,506,386,Squash
/Users/olivereielson/Desktop/test/207960--2021-05-19-20:31:37-395734.jpg,858,343,861,347,Squash
/Users/olivereielson/Desktop/test/197058--2021-05-19-20:13:26-354265.jpg,515,218,521,223,Squash
/Users/olivereielson/Desktop/test/184602--2021-05-19-19:52:55-462962.jpg,639,25,646,32,Squash
/Users/olivereielson/Desktop/test/207126--2021-05-19-20:30:14-300474.jpg,405,140,410,143,Squash
/Users/olivereielson/Desktop/test/185941--2021-05-19-19:55:07-421634.jpg,557,216,563,222,Squash
/Users/olivereielson/Desktop/test/210859--2021-05-19-20:36:34-111325.jpg,671,164,674,169,Squash
/Users/olivereielson/Desktop/test/183589--2021-05-19-19:51:15-117864.jpg,505,109,509,113,Squash
/Users/olivereielson/Desktop/test/196755--2021-05-19-20:12:56-297634.jpg,785,225,789,228,Squash
/Users/olivereielson/Desktop/test/190505--2021-05-19-20:02:39-985477.jpg,893,215,897,218,Squash
/Users/olivereielson/Desktop/test/169827--2021-05-19-19:28:35-695710.jpg,425,328,429,332,Squash
/Users/olivereielson/Desktop/test/170876--2021-05-19-19:30:19-763170.jpg,361,189,368,197,Squash
/Users/olivereielson/Desktop/test/184954--2021-05-19-19:53:30-222064.jpg,637,228,642,233,Squash
/Users/olivereielson/Desktop/test/202827--2021-05-19-20:23:07-298196.jpg,1051,76,1058,83,Squash
/Users/olivereielson/Desktop/test/169728--2021-05-19-19:28:25-839590.jpg,445,339,449,343,Squash
/Users/olivereielson/Desktop/test/188395--2021-05-19-19:59:09-978112.jpg,841,317,844,321,Squash
/Users/olivereielson/Desktop/test/206404--2021-05-19-20:29:02-827003.jpg,426,352,430,356,Squash
/Users/olivereielson/Desktop/test/207247--2021-05-19-20:30:26-418847.jpg,429,354,434,359,Squash
/Users/olivereielson/Desktop/test/209971--2021-05-19-20:35:05-169514.jpg,702,376,708,382,Squash
/Users/olivereielson/Desktop/test/170937--2021-05-19-19:30:25-866856.jpg,400,186,405,191,Squash
/Users/olivereielson/Desktop/test/173608--2021-05-19-19:34:50-565666.jpg,1084,256,1090,263,Squash
/Users/olivereielson/Desktop/test/202907--2021-05-19-20:23:15-374947.jpg,968,282,978,289,Squash
/Users/olivereielson/Desktop/test/184409--2021-05-19-19:52:36-418052.jpg,803,125,807,129,Squash
/Users/olivereielson/Desktop/test/197686--2021-05-19-20:14:28-513487.jpg,741,310,750,317,Squash
/Users/olivereielson/Desktop/test/205225--2021-05-19-20:27:06-612520.jpg,541,374,546,379,Squash
/Users/olivereielson/Desktop/test/174205--2021-05-19-19:35:49-524841.jpg,635,364,641,370,Squash
/Users/olivereielson/Desktop/test/192061--2021-05-19-20:05:13-679795.jpg,828,249,831,253,Squash
/Users/olivereielson/Desktop/test/174493--2021-05-19-19:36:18-089230.jpg,1002,279,1008,285,Squash
/Users/olivereielson/Desktop/test/201383--2021-05-19-20:20:34-847638.jpg,985,239,991,246,Squash
/Users/olivereielson/Desktop/test/197539--2021-05-19-20:14:13-954184.jpg,474,245,482,252,Squash
/Users/olivereielson/Desktop/test/199239--2021-05-19-20:17:02-206303.jpg,896,393,902,398,Squash
/Users/olivereielson/Desktop/test/202785--2021-05-19-20:23:03-030290.jpg,985,269,993,276,Squash
/Users/olivereielson/Desktop/test/204022--2021-05-19-20:25:07-917006.jpg,815,300,822,307,Squash
/Users/olivereielson/Desktop/test/204034--2021-05-19-20:25:09-125143.jpg,860,354,866,361,Squash
/Users/olivereielson/Desktop/test/172914--2021-05-19-19:33:41-999726.jpg,1148,390,1154,401,Squash
/Users/olivereielson/Desktop/test/184396--2021-05-19-19:52:35-116837.jpg,647,304,654,311,Squash
/Users/olivereielson/Desktop/test/209847--2021-05-19-20:34:52-715852.jpg,1028,386,1034,391,Squash
/Users/olivereielson/Desktop/test/173661--2021-05-19-19:34:55-849302.jpg,921,272,926,278,Squash
/Users/olivereielson/Desktop/test/175099--2021-05-19-19:37:17-964150.jpg,407,313,412,318,Squash
/Users/olivereielson/Desktop/test/203292--2021-05-19-20:23:54-534056.jpg,481,46,487,51,Squash
/Users/olivereielson/Desktop/test/184543--2021-05-19-19:52:49-632466.jpg,644,133,647,137,Squash
/Users/olivereielson/Desktop/test/191916--2021-05-19-20:04:59-306036.jpg,937,149,941,153,Squash
/Users/olivereielson/Desktop/test/188535--2021-05-19-19:59:23-825442.jpg,369,365,373,369,Squash
/Users/olivereielson/Desktop/test/179093--2021-05-19-19:43:52-350242.jpg,666,296,676,303,Squash
/Users/olivereielson/Desktop/test/197136--2021-05-19-20:13:34-142219.jpg,382,350,387,354,Squash
/Users/olivereielson/Desktop/test/202793--2021-05-19-20:23:03-856575.jpg,983,322,989,329,Squash
/Users/olivereielson/Desktop/test/171689--2021-05-19-19:31:40-611762.jpg,556,345,564,353,Squash
/Users/olivereielson/Desktop/test/189760--2021-05-19-20:01:25-133098.jpg,1037,434,1044,441,Squash
/Users/olivereielson/Desktop/test/193768--2021-05-19-20:08:02-947171.jpg,945,333,949,338,Squash
/Users/olivereielson/Desktop/test/207627--2021-05-19-20:31:04-002447.jpg,913,222,917,226,Squash
/Users/olivereielson/Desktop/test/201148--2021-05-19-20:20:11-500958.jpg,645,306,653,313,Squash
/Users/olivereielson/Desktop/test/187028--2021-05-19-19:56:54-854827.jpg,348,395,353,400,Squash
/Users/olivereielson/Desktop/test/205718--2021-05-19-20:27:55-299091.jpg,992,440,997,445,Squash
/Users/olivereielson/Desktop/test/185158--2021-05-19-19:53:50-381142.jpg,1007,381,1013,388,Squash
/Users/olivereielson/Desktop/test/189527--2021-05-19-20:01:01-983072.jpg,795,115,800,120,Squash
/Users/olivereielson/Desktop/test/206967--2021-05-19-20:29:58-517795.jpg,965,276,973,285,Squash
/Users/olivereielson/Desktop/test/200237--2021-05-19-20:18:40-887426.jpg,1112,287,1118,297,Squash
/Users/olivereielson/Desktop/test/173988--2021-05-19-19:35:28-178365.jpg,372,187,379,195,Squash
/Users/olivereielson/Desktop/test/176089--2021-05-19-19:38:55-878547.jpg,423,346,427,350,Squash
/Users/olivereielson/Desktop/test/188575--2021-05-19-19:59:27-787899.jpg,557,319,561,323,Squash
/Users/olivereielson/Desktop/test/174632--2021-05-19-19:36:31-869053.jpg,756,112,763,121,Squash
/Users/olivereielson/Desktop/test/198073--2021-05-19-20:15:06-747666.jpg,972,258,980,266,Squash
/Users/olivereielson/Desktop/test/202812--2021-05-19-20:23:05-783391.jpg,1052,87,1058,92,Squash
/Users/olivereielson/Desktop/test/202183--2021-05-19-20:21:58-440265.jpg,495,299,499,303,Squash
/Users/olivereielson/Desktop/test/186617--2021-05-19-19:56:14-171395.jpg,662,141,667,146,Squash
/Users/olivereielson/Desktop/test/204341--2021-05-19-20:25:39-871481.jpg,374,190,380,195,Squash
/Users/olivereielson/Desktop/test/193897--2021-05-19-20:08:15-741692.jpg,776,385,782,390,Squash
/Users/olivereielson/Desktop/test/172180--2021-05-19-19:32:29-274187.jpg,341,353,347,358,Squash
/Users/olivereielson/Desktop/test/204750--2021-05-19-20:26:20-025006.jpg,893,319,897,323,Squash
/Users/olivereielson/Desktop/test/205155--2021-05-19-20:26:59-671772.jpg,569,337,577,345,Squash
/Users/olivereielson/Desktop/test/189008--2021-05-19-20:00:10-538718.jpg,849,224,857,230,Squash
/Users/olivereielson/Desktop/test/169847--2021-05-19-19:28:37-708674.jpg,497,381,501,385,Squash
/Users/olivereielson/Desktop/test/188469--2021-05-19-19:59:17-232478.jpg,359,238,365,245,Squash
/Users/olivereielson/Desktop/test/190079--2021-05-19-20:01:57-731700.jpg,965,234,970,239,Squash
/Users/olivereielson/Desktop/test/179784--2021-05-19-19:45:00-407032.jpg,506,102,511,106,Squash
/Users/olivereielson/Desktop/test/200078--2021-05-19-20:18:25-138313.jpg,736,342,745,350,Squash
/Users/olivereielson/Desktop/test/169792--2021-05-19-19:28:32-245307.jpg,415,371,421,379,Squash
/Users/olivereielson/Desktop/test/192275--2021-05-19-20:05:34-733913.jpg,712,361,718,366,Squash
/Users/olivereielson/Desktop/test/177407--2021-05-19-19:41:06-071353.jpg,704,317,709,322,Squash
/Users/olivereielson/Desktop/test/203004--2021-05-19-20:23:25-151278.jpg,445,247,449,251,Squash
/Users/olivereielson/Desktop/test/172118--2021-05-19-19:32:23-065010.jpg,880,206,886,212,Squash
/Users/olivereielson/Desktop/test/188182--2021-05-19-19:58:48-930565.jpg,385,365,389,370,Squash
/Users/olivereielson/Desktop/test/199005--2021-05-19-20:16:39-016980.jpg,385,27,389,31,Squash
/Users/olivereielson/Desktop/test/176074--2021-05-19-19:38:54-372262.jpg,443,227,447,230,Squash
/Users/olivereielson/Desktop/test/184121--2021-05-19-19:52:07-875892.jpg,508,110,514,115,Squash
/Users/olivereielson/Desktop/test/173094--2021-05-19-19:33:59-755441.jpg,552,81,555,86,Squash
/Users/olivereielson/Desktop/test/180202--2021-05-19-19:45:41-982777.jpg,456,303,461,308,Squash
/Users/olivereielson/Desktop/test/176419--2021-05-19-19:39:28-416306.jpg,459,191,462,195,Squash
/Users/olivereielson/Desktop/test/206758--2021-05-19-20:29:37-912145.jpg,1008,429,1014,434,Squash
/Users/olivereielson/Desktop/test/172240--2021-05-19-19:32:35-260215.jpg,965,298,971,304,Squash
/Users/olivereielson/Desktop/test/199770--2021-05-19-20:17:54-593137.jpg,382,294,387,298,Squash
/Users/olivereielson/Desktop/test/169924--2021-05-19-19:28:45-341776.jpg,921,385,926,389,Squash
/Users/olivereielson/Desktop/test/179765--2021-05-19-19:44:58-539045.jpg,701,361,705,365,Squash
/Users/olivereielson/Desktop/test/207773--2021-05-19-20:31:18-675701.jpg,484,226,489,230,Squash
/Users/olivereielson/Desktop/test/168893--2021-05-19-19:27:03-659042.jpg,384,375,390,381,Squash
/Users/olivereielson/Desktop/test/173577--2021-05-19-19:34:47-435199.jpg,623,351,630,358,Squash
/Users/olivereielson/Desktop/test/174744--2021-05-19-19:36:42-874723.jpg,899,331,903,335,Squash
/Users/olivereielson/Desktop/test/179595--2021-05-19-19:44:41-828951.jpg,877,335,883,340,Squash
/Users/olivereielson/Desktop/test/179794--2021-05-19-19:45:01-396634.jpg,391,233,397,238,Squash
/Users/olivereielson/Desktop/test/179372--2021-05-19-19:44:19-894583.jpg,959,174,964,178,Squash
/Users/olivereielson/Desktop/test/210306--2021-05-19-20:35:38-965412.jpg,408,321,413,324,Squash
/Users/olivereielson/Desktop/test/176053--2021-05-19-19:38:52-249519.jpg,484,125,488,129,Squash
/Users/olivereielson/Desktop/test/196693--2021-05-19-20:12:50-053468.jpg,578,317,582,321,Squash
/Users/olivereielson/Desktop/test/188334--2021-05-19-19:59:03-981643.jpg,230,351,238,364,Squash
/Users/olivereielson/Desktop/test/182631--2021-05-19-19:49:39-814873.jpg,833,93,837,97,Squash
/Users/olivereielson/Desktop/test/173284--2021-05-19-19:34:18-465776.jpg,908,320,913,325,Squash
/Users/olivereielson/Desktop/test/176605--2021-05-19-19:39:46-722976.jpg,353,393,357,397,Squash
/Users/olivereielson/Desktop/test/179822--2021-05-19-19:45:04-187022.jpg,951,352,955,356,Squash
/Users/olivereielson/Desktop/test/180073--2021-05-19-19:45:29-044548.jpg,461,321,465,325,Squash
/Users/olivereielson/Desktop/test/172482--2021-05-19-19:32:59-121660.jpg,706,333,714,340,Squash
/Users/olivereielson/Desktop/test/190188--2021-05-19-20:02:08-523534.jpg,528,55,534,62,Squash
/Users/olivereielson/Desktop/test/180194--2021-05-19-19:45:41-185776.jpg,456,302,461,307,Squash
/Users/olivereielson/Desktop/test/169831--2021-05-19-19:28:36-099036.jpg,437,325,441,329,Squash
/Users/olivereielson/Desktop/test/176966--2021-05-19-19:40:22-475459.jpg,923,252,927,255,Squash
/Users/olivereielson/Desktop/test/189222--2021-05-19-20:00:31-831352.jpg,848,198,853,203,Squash
/Users/olivereielson/Desktop/test/201522--2021-05-19-20:20:48-699258.jpg,282,349,289,359,Squash
/Users/olivereielson/Desktop/test/175136--2021-05-19-19:37:21-617506.jpg,388,334,394,339,Squash
/Users/olivereielson/Desktop/test/185121--2021-05-19-19:53:46-682481.jpg,873,302,877,306,Squash
/Users/olivereielson/Desktop/test/193054--2021-05-19-20:06:51-902931.jpg,715,117,719,121,Squash
/Users/olivereielson/Desktop/test/207891--2021-05-19-20:31:30-534558.jpg,388,306,394,315,Squash
/Users/olivereielson/Desktop/test/208960--2021-05-19-20:33:22-293469.jpg,721,172,724,177,Squash
/Users/olivereielson/Desktop/test/202540--2021-05-19-20:22:36-387141.jpg,606,352,612,357,Squash
/Users/olivereielson/Desktop/test/210162--2021-05-19-20:35:24-485815.jpg,963,254,968,260,Squash
/Users/olivereielson/Desktop/test/172796--2021-05-19-19:33:30-221740.jpg,744,131,750,137,Squash
/Users/olivereielson/Desktop/test/193957--2021-05-19-20:08:21-708632.jpg,546,367,551,372,Squash
/Users/olivereielson/Desktop/test/199700--2021-05-19-20:17:47-605077.jpg,570,53,575,58,Squash
/Users/olivereielson/Desktop/test/183290--2021-05-19-19:50:45-324893.jpg,957,382,963,387,Squash
/Users/olivereielson/Desktop/test/198975--2021-05-19-20:16:36-044888.jpg,357,389,361,393,Squash
/Users/olivereielson/Desktop/test/179158--2021-05-19-19:43:58-759561.jpg,657,325,664,331,Squash
/Users/olivereielson/Desktop/test/179150--2021-05-19-19:43:57-948402.jpg,586,325,593,332,Squash
/Users/olivereielson/Desktop/test/168876--2021-05-19-19:27:01-957550.jpg,383,291,388,295,Squash
/Users/olivereielson/Desktop/test/190374--2021-05-19-20:02:26-836537.jpg,392,92,397,96,Squash
/Users/olivereielson/Desktop/test/209593--2021-05-19-20:34:27-490908.jpg,467,201,472,206,Squash
/Users/olivereielson/Desktop/test/210336--2021-05-19-20:35:41-908177.jpg,397,221,401,225,Squash
/Users/olivereielson/Desktop/test/197838--2021-05-19-20:14:43-602095.jpg,441,238,446,242,Squash
/Users/olivereielson/Desktop/test/178387--2021-05-19-19:42:42-720170.jpg,1041,360,1048,366,Squash
/Users/olivereielson/Desktop/test/171366--2021-05-19-19:31:08-602564.jpg,560,447,565,452,Squash
/Users/olivereielson/Desktop/test/175468--2021-05-19-19:37:54-214906.jpg,329,382,337,389,Squash
/Users/olivereielson/Desktop/test/180246--2021-05-19-19:45:46-377348.jpg,453,304,459,310,Squash
/Users/olivereielson/Desktop/test/167019--2021-05-19-19:23:59-191653.jpg,473,338,477,342,Squash
/Users/olivereielson/Desktop/test/204146--2021-05-19-20:25:20-320521.jpg,532,115,535,119,Squash
/Users/olivereielson/Desktop/test/176597--2021-05-19-19:39:45-922533.jpg,372,357,378,362,Squash
/Users/olivereielson/Desktop/test/169699--2021-05-19-19:28:23-011719.jpg,898,170,904,176,Squash
/Users/olivereielson/Desktop/test/211325--2021-05-19-20:37:21-989119.jpg,809,288,814,293,Squash
/Users/olivereielson/Desktop/test/210280--2021-05-19-20:35:36-264512.jpg,704,396,709,402,Squash
/Users/olivereielson/Desktop/test/193908--2021-05-19-20:08:16-845117.jpg,730,381,736,386,Squash
/Users/olivereielson/Desktop/test/177137--2021-05-19-19:40:39-373650.jpg,381,218,386,222,Squash
/Users/olivereielson/Desktop/test/203243--2021-05-19-20:23:49-601876.jpg,646,302,653,309,Squash
