image_path,xmin,ymin,xmax,ymax,class
/Users/olivereielson/Desktop/tennis-tracker/train/United-Cup-2023-Semi-Final-Day-One-Highlights-5-90_jpg.rf.2a5ced4e448d8d15110971cc251a2317.jpg,542,64,564,111,player-back
/Users/olivereielson/Desktop/tennis-tracker/train/United-Cup-2023-Semi-Final-Day-One-Highlights-5-90_jpg.rf.2a5ced4e448d8d15110971cc251a2317.jpg,464,344,524,456,player-front
/Users/olivereielson/Desktop/tennis-tracker/train/United-Cup-2023-Semi-Final-Day-One-Highlights-5-90_jpg.rf.2a5ced4e448d8d15110971cc251a2317.jpg,552,261,563,270,tennis-ball
/Users/olivereielson/Desktop/tennis-tracker/train/Florence-2022-Quarter-Final-Highlights-6-70_jpg.rf.aedf744f1be853af57586063f337d6a4.jpg,388,430,466,531,player-front
/Users/olivereielson/Desktop/tennis-tracker/train/Florence-2022-Quarter-Final-Highlights-6-70_jpg.rf.aedf744f1be853af57586063f337d6a4.jpg,581,109,602,147,player-back
/Users/olivereielson/Desktop/tennis-tracker/train/Florence-2022-Quarter-Final-Highlights-6-70_jpg.rf.aedf744f1be853af57586063f337d6a4.jpg,561,155,569,164,tennis-ball
/Users/olivereielson/Desktop/tennis-tracker/train/Pune-2023-Quarter-Final-Highlights-8-30_jpg.rf.21fda0729ae245e03e8cb806e45d50f2.jpg,399,365,438,483,player-front
/Users/olivereielson/Desktop/tennis-tracker/train/Pune-2023-Quarter-Final-Highlights-8-30_jpg.rf.21fda0729ae245e03e8cb806e45d50f2.jpg,441,112,465,172,player-back
/Users/olivereielson/Desktop/tennis-tracker/train/Pune-2023-Quarter-Final-Highlights-8-30_jpg.rf.21fda0729ae245e03e8cb806e45d50f2.jpg,586,451,594,458,tennis-ball
/Users/olivereielson/Desktop/tennis-tracker/train/United-Cup-2023-Semi-Final-Day-One-Highlights-7-65_jpg.rf.6a4bbf4b5f01b3e41ecb3be3c35599f1.jpg,818,347,869,466,player-front
/Users/olivereielson/Desktop/tennis-tracker/train/United-Cup-2023-Semi-Final-Day-One-Highlights-7-65_jpg.rf.6a4bbf4b5f01b3e41ecb3be3c35599f1.jpg,508,72,531,123,player-back
/Users/olivereielson/Desktop/tennis-tracker/train/United-Cup-2023-Semi-Final-Day-One-Highlights-7-65_jpg.rf.6a4bbf4b5f01b3e41ecb3be3c35599f1.jpg,540,64,549,71,tennis-ball
/Users/olivereielson/Desktop/tennis-tracker/train/Dallas-2023-Quarter-Final-Highlights-7-80_jpg.rf.ca8f88b6f38ee88f188d062391284410.jpg,746,364,807,511,player-front
/Users/olivereielson/Desktop/tennis-tracker/train/Dallas-2023-Quarter-Final-Highlights-7-80_jpg.rf.ca8f88b6f38ee88f188d062391284410.jpg,449,75,504,152,player-back
/Users/olivereielson/Desktop/tennis-tracker/train/Dallas-2023-Quarter-Final-Highlights-7-80_jpg.rf.ca8f88b6f38ee88f188d062391284410.jpg,707,313,717,323,tennis-ball
/Users/olivereielson/Desktop/tennis-tracker/train/United-Cup-2023-Semi-Final-Day-One-Highlights-9-75_jpg.rf.75ab0d91cd758eef4af27b43973e8c84.jpg,277,318,351,443,player-front
/Users/olivereielson/Desktop/tennis-tracker/train/United-Cup-2023-Semi-Final-Day-One-Highlights-9-75_jpg.rf.75ab0d91cd758eef4af27b43973e8c84.jpg,525,53,554,105,player-back
/Users/olivereielson/Desktop/tennis-tracker/train/United-Cup-2023-Semi-Final-Day-One-Highlights-9-75_jpg.rf.75ab0d91cd758eef4af27b43973e8c84.jpg,387,342,397,352,tennis-ball
/Users/olivereielson/Desktop/tennis-tracker/train/Dallas-2023-Quarter-Final-Highlights-1-110_jpg.rf.b65aa7d073e764937bd8cf9c1e2ec45b.jpg,293,301,345,440,player-front
/Users/olivereielson/Desktop/tennis-tracker/train/Dallas-2023-Quarter-Final-Highlights-1-110_jpg.rf.b65aa7d073e764937bd8cf9c1e2ec45b.jpg,522,59,566,127,player-back
/Users/olivereielson/Desktop/tennis-tracker/train/Dallas-2023-Quarter-Final-Highlights-1-110_jpg.rf.b65aa7d073e764937bd8cf9c1e2ec45b.jpg,478,268,489,277,tennis-ball
/Users/olivereielson/Desktop/tennis-tracker/train/Toronto-2021-Quarter-Final-Highlights-3-25_jpg.rf.ef009b66f4d8581250e365acfde7e369.jpg,449,359,517,489,player-front
/Users/olivereielson/Desktop/tennis-tracker/train/Toronto-2021-Quarter-Final-Highlights-3-25_jpg.rf.ef009b66f4d8581250e365acfde7e369.jpg,515,82,562,147,player-back
/Users/olivereielson/Desktop/tennis-tracker/train/Toronto-2021-Quarter-Final-Highlights-3-25_jpg.rf.ef009b66f4d8581250e365acfde7e369.jpg,593,198,600,205,tennis-ball
/Users/olivereielson/Desktop/tennis-tracker/train/Stockholm-2021-Quarter-Final-Highlights-5-20_jpg.rf.114413689ec4777788e628b9eb729550.jpg,425,115,451,172,player-back
/Users/olivereielson/Desktop/tennis-tracker/train/Stockholm-2021-Quarter-Final-Highlights-5-20_jpg.rf.114413689ec4777788e628b9eb729550.jpg,417,276,464,378,player-front
/Users/olivereielson/Desktop/tennis-tracker/train/Stockholm-2021-Quarter-Final-Highlights-5-20_jpg.rf.114413689ec4777788e628b9eb729550.jpg,368,253,378,263,tennis-ball
/Users/olivereielson/Desktop/tennis-tracker/train/Miami-2022-Monday-Highlights-3-55_jpg.rf.b8c580ebda1c0cdafac45ac00f06a2e9.jpg,453,110,497,163,player-back
/Users/olivereielson/Desktop/tennis-tracker/train/Miami-2022-Monday-Highlights-3-55_jpg.rf.b8c580ebda1c0cdafac45ac00f06a2e9.jpg,767,385,868,480,player-front
/Users/olivereielson/Desktop/tennis-tracker/train/Miami-2022-Monday-Highlights-3-55_jpg.rf.b8c580ebda1c0cdafac45ac00f06a2e9.jpg,599,224,610,234,tennis-ball
/Users/olivereielson/Desktop/tennis-tracker/train/Florence-2022-Quarter-Final-Highlights-0-45_jpg.rf.af4475278af1594153f3689c67ca8e1e.jpg,402,328,442,419,player-front
/Users/olivereielson/Desktop/tennis-tracker/train/Florence-2022-Quarter-Final-Highlights-0-45_jpg.rf.af4475278af1594153f3689c67ca8e1e.jpg,616,91,640,123,player-back
