image_path,xmin,ymin,xmax,ymax,class
/Users/olivereielson/Desktop/tennis-tracker/valid/Stockholm-2021-Quarter-Final-Highlights-7-45_jpg.rf.e7890bb907ab9db8ec3473c72f2a983c.jpg,571,84,600,129,player-back
/Users/olivereielson/Desktop/tennis-tracker/valid/Stockholm-2021-Quarter-Final-Highlights-7-45_jpg.rf.e7890bb907ab9db8ec3473c72f2a983c.jpg,370,316,427,420,player-front
/Users/olivereielson/Desktop/tennis-tracker/valid/Stockholm-2021-Quarter-Final-Highlights-7-45_jpg.rf.e7890bb907ab9db8ec3473c72f2a983c.jpg,395,235,403,244,tennis-ball
/Users/olivereielson/Desktop/tennis-tracker/valid/Cologne-2020-Quarter-Final-Highlights-3-35_jpg.rf.244cb762975bdd90d8eb6ed8115e832c.jpg,590,99,620,140,player-back
/Users/olivereielson/Desktop/tennis-tracker/valid/Cologne-2020-Quarter-Final-Highlights-3-35_jpg.rf.244cb762975bdd90d8eb6ed8115e832c.jpg,420,368,461,473,player-front
/Users/olivereielson/Desktop/tennis-tracker/valid/Cologne-2020-Quarter-Final-Highlights-3-35_jpg.rf.244cb762975bdd90d8eb6ed8115e832c.jpg,450,302,459,312,tennis-ball
/Users/olivereielson/Desktop/tennis-tracker/valid/Cologne-2020-Quarter-Final-Highlights-4-115_jpg.rf.2874ba3ae789ff981da31ac284412007.jpg,593,97,613,142,player-back
/Users/olivereielson/Desktop/tennis-tracker/valid/Cologne-2020-Quarter-Final-Highlights-4-115_jpg.rf.2874ba3ae789ff981da31ac284412007.jpg,359,424,389,506,player-front
/Users/olivereielson/Desktop/tennis-tracker/valid/Cologne-2020-Quarter-Final-Highlights-4-115_jpg.rf.2874ba3ae789ff981da31ac284412007.jpg,430,341,437,348,tennis-ball
/Users/olivereielson/Desktop/tennis-tracker/valid/United-Cup-2023-Semi-Final-Day-One-Highlights-7-25_jpg.rf.226638ffbd1f29afa0f04d2f772f56f7.jpg,680,359,752,451,player-front
/Users/olivereielson/Desktop/tennis-tracker/valid/United-Cup-2023-Semi-Final-Day-One-Highlights-7-25_jpg.rf.226638ffbd1f29afa0f04d2f772f56f7.jpg,460,72,482,121,player-back
/Users/olivereielson/Desktop/tennis-tracker/valid/United-Cup-2023-Semi-Final-Day-One-Highlights-7-25_jpg.rf.226638ffbd1f29afa0f04d2f772f56f7.jpg,762,370,774,381,tennis-ball
/Users/olivereielson/Desktop/tennis-tracker/valid/Winston-Salem-2022-Sunday-Highlights-4-85_jpg.rf.feac04bf081d22284520153d2fea2252.jpg,397,79,432,140,player-back
/Users/olivereielson/Desktop/tennis-tracker/valid/Winston-Salem-2022-Sunday-Highlights-4-85_jpg.rf.feac04bf081d22284520153d2fea2252.jpg,567,283,629,374,player-front
/Users/olivereielson/Desktop/tennis-tracker/valid/Winston-Salem-2022-Sunday-Highlights-4-85_jpg.rf.feac04bf081d22284520153d2fea2252.jpg,509,177,522,188,tennis-ball
/Users/olivereielson/Desktop/tennis-tracker/valid/Stockholm-2022-Quarter-Final-Highlights-2-120_jpg.rf.e720a5a745d8691b1b517b444b2324f2.jpg,335,229,378,311,player-front
/Users/olivereielson/Desktop/tennis-tracker/valid/Stockholm-2022-Quarter-Final-Highlights-2-120_jpg.rf.e720a5a745d8691b1b517b444b2324f2.jpg,478,69,508,111,player-back
/Users/olivereielson/Desktop/tennis-tracker/valid/Stockholm-2022-Quarter-Final-Highlights-2-120_jpg.rf.e720a5a745d8691b1b517b444b2324f2.jpg,477,75,482,80,tennis-ball
/Users/olivereielson/Desktop/tennis-tracker/valid/Tel-Aviv-2022-Quarter-Final-Highlights-4-110_jpg.rf.a111fd703efcb802955bd2ae6a268563.jpg,303,359,414,469,player-front
/Users/olivereielson/Desktop/tennis-tracker/valid/Tel-Aviv-2022-Quarter-Final-Highlights-4-110_jpg.rf.a111fd703efcb802955bd2ae6a268563.jpg,396,115,443,180,player-back
/Users/olivereielson/Desktop/tennis-tracker/valid/Tel-Aviv-2022-Quarter-Final-Highlights-4-110_jpg.rf.a111fd703efcb802955bd2ae6a268563.jpg,622,283,633,292,tennis-ball
/Users/olivereielson/Desktop/tennis-tracker/valid/Stockholm-2021-Quarter-Final-Highlights-6-30_jpg.rf.8373c370ce8fd08a5527fc647db996fe.jpg,443,103,475,145,player-back
/Users/olivereielson/Desktop/tennis-tracker/valid/Stockholm-2021-Quarter-Final-Highlights-6-30_jpg.rf.8373c370ce8fd08a5527fc647db996fe.jpg,428,393,490,512,player-front
/Users/olivereielson/Desktop/tennis-tracker/valid/Stockholm-2021-Quarter-Final-Highlights-6-30_jpg.rf.8373c370ce8fd08a5527fc647db996fe.jpg,484,167,492,174,tennis-ball
/Users/olivereielson/Desktop/tennis-tracker/valid/Florence-2022-Quarter-Final-Highlights-4-50_jpg.rf.8292adc484c1146e5d2200b911f7f00c.jpg,252,406,325,511,player-front
/Users/olivereielson/Desktop/tennis-tracker/valid/Florence-2022-Quarter-Final-Highlights-4-50_jpg.rf.8292adc484c1146e5d2200b911f7f00c.jpg,513,93,534,139,player-back
/Users/olivereielson/Desktop/tennis-tracker/valid/Florence-2022-Quarter-Final-Highlights-4-50_jpg.rf.8292adc484c1146e5d2200b911f7f00c.jpg,514,68,521,74,tennis-ball
/Users/olivereielson/Desktop/tennis-tracker/valid/Miami-2022-Monday-Highlights-4-10_jpg.rf.6ae772f431efd036219490554b5d5d49.jpg,694,388,750,491,player-front
/Users/olivereielson/Desktop/tennis-tracker/valid/Miami-2022-Monday-Highlights-4-10_jpg.rf.6ae772f431efd036219490554b5d5d49.jpg,467,82,500,136,player-back
/Users/olivereielson/Desktop/tennis-tracker/valid/Miami-2022-Monday-Highlights-4-10_jpg.rf.6ae772f431efd036219490554b5d5d49.jpg,493,72,503,83,tennis-ball
/Users/olivereielson/Desktop/tennis-tracker/valid/Miami-2022-Monday-Highlights-4-90_jpg.rf.b1badc1983e4bec3a7b321d5e409f133.jpg,346,83,374,142,player-back
/Users/olivereielson/Desktop/tennis-tracker/valid/Miami-2022-Monday-Highlights-4-90_jpg.rf.b1badc1983e4bec3a7b321d5e409f133.jpg,644,352,695,448,player-front
/Users/olivereielson/Desktop/tennis-tracker/valid/Cologne-2020-Quarter-Final-Highlights-5-105_jpg.rf.203f1e3fe0d35da6993d4300e4e0565d.jpg,607,102,637,149,player-back
/Users/olivereielson/Desktop/tennis-tracker/valid/Cologne-2020-Quarter-Final-Highlights-5-105_jpg.rf.203f1e3fe0d35da6993d4300e4e0565d.jpg,369,450,428,534,player-front
/Users/olivereielson/Desktop/tennis-tracker/valid/Cologne-2020-Quarter-Final-Highlights-5-105_jpg.rf.203f1e3fe0d35da6993d4300e4e0565d.jpg,499,193,507,201,tennis-ball
